Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,037833100,AAPL ,"151,914,317","17,014,403,504.00",13.540,Apple Inc,Common Stock,Information Technology,09/11/2020
QQQ,023135106,AMZN ,"4,370,339","13,618,937,798.58",10.838,Amazon.com Inc,Common Stock,Consumer Discretionary,09/11/2020
QQQ,594918104,MSFT ,"66,448,172","13,557,420,533.16",10.789,Microsoft Corp,Common Stock,Information Technology,09/11/2020
QQQ,30303M102,FB ,"21,069,312","5,617,289,272.32",4.470,Facebook Inc,Common Stock,Communication Services,09/11/2020
QQQ,02079K305,GOOGL ,"3,016,585","4,572,418,879.60",3.639,Alphabet Inc,Common Stock,Communication Services,09/11/2020
QQQ,02079K107,GOOG ,"2,945,439","4,479,187,996.08",3.564,Alphabet Inc,Common Stock,Communication Services,09/11/2020
QQQ,88160R101,TSLA ,"10,359,661","3,861,252,847.92",3.073,Tesla Inc,Common Stock,Consumer Discretionary,09/11/2020
QQQ,67066G104,NVDA ,"6,873,954","3,344,728,537.32",2.662,NVIDIA Corp,Common Stock,Information Technology,09/11/2020
QQQ,00724F101,ADBE ,"5,385,153","2,538,291,866.55",2.020,Adobe Inc,Common Stock,Information Technology,09/11/2020
QQQ,70450Y103,PYPL ,"13,123,884","2,414,794,656.00",1.922,PayPal Holdings Inc,Common Stock,Information Technology,09/11/2020
QQQ,64110L106,NFLX ,"4,915,876","2,369,599,708.28",1.886,Netflix Inc,Common Stock,Communication Services,09/11/2020
QQQ,458140100,INTC ,"47,324,395","2,332,146,185.60",1.856,Intel Corp,Common Stock,Information Technology,09/11/2020
QQQ,20030N101,CMCSA ,"50,909,128","2,274,110,747.76",1.810,Comcast Corp,Common Stock,Communication Services,09/11/2020
QQQ,713448108,PEP ,"15,508,351","2,106,189,149.31",1.676,PepsiCo Inc,Common Stock,Consumer Staples,09/11/2020
QQQ,17275R102,CSCO ,"47,193,449","1,882,074,746.12",1.498,Cisco Systems Inc,Common Stock,Information Technology,09/11/2020
QQQ,22160K105,COST ,"4,935,639","1,673,823,254.07",1.332,Costco Wholesale Corp,Common Stock,Consumer Staples,09/11/2020
QQQ,11135F101,AVGO ,"4,468,629","1,607,365,851.30",1.279,Broadcom Inc,Common Stock,Information Technology,09/11/2020
QQQ,031162100,AMGN ,"6,574,899","1,599,081,185.79",1.273,Amgen Inc,Common Stock,Health Care,09/11/2020
QQQ,872590104,TMUS ,"13,812,432","1,541,191,162.56",1.226,T-Mobile US Inc,Common Stock,Communication Services,09/11/2020
QQQ,747525103,QCOM ,"12,573,562","1,426,093,402.04",1.135,QUALCOMM Inc,Common Stock,Information Technology,09/11/2020
QQQ,882508104,TXN ,"10,258,172","1,398,906,915.64",1.113,Texas Instruments Inc,Common Stock,Information Technology,09/11/2020
QQQ,16119P108,CHTR ,"2,307,630","1,388,085,597.60",1.105,Charter Communications Inc,Common Stock,Communication Services,09/11/2020
QQQ,855244109,SBUX ,"13,058,366","1,113,486,868.82",0.886,Starbucks Corp,Common Stock,Consumer Discretionary,09/11/2020
QQQ,007903107,AMD ,"13,090,664","999,341,289.76",0.795,Advanced Micro Devices Inc,Common Stock,Information Technology,09/11/2020
QQQ,375558103,GILD ,"14,020,401","919,457,897.58",0.732,Gilead Sciences Inc,Common Stock,Health Care,09/11/2020
QQQ,609207105,MDLZ ,"15,955,036","918,212,321.80",0.731,Mondelez International Inc,Common Stock,Consumer Staples,09/11/2020
QQQ,461202103,INTU ,"2,914,768","918,151,920.00",0.731,Intuit Inc,Common Stock,Information Technology,09/11/2020
QQQ,46120E602,ISRG ,"1,303,487","915,751,756.98",0.729,Intuitive Surgical Inc,Common Stock,Health Care,09/11/2020
QQQ,09857L108,BKNG ,"457,536","816,125,264.64",0.649,Booking Holdings Inc,Common Stock,Consumer Discretionary,09/11/2020
QQQ,47215P106,JD ,"10,376,045","769,695,018.10",0.613,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,09/11/2020
QQQ,92532F100,VRTX ,"2,897,992","747,566,016.32",0.595,Vertex Pharmaceuticals Inc,Common Stock,Health Care,09/11/2020
QQQ,98980L101,ZM ,"1,872,889","717,316,487.00",0.571,Zoom Video Communications Inc,Common Stock,Information Technology,09/11/2020
QQQ,337738108,FISV ,"7,483,047","696,372,353.82",0.554,Fiserv Inc,Common Stock,Information Technology,09/11/2020
QQQ,00507V109,ATVI ,"8,611,807","671,462,591.79",0.534,Activision Blizzard Inc,Common Stock,Communication Services,09/11/2020
QQQ,126408103,CSX ,"8,555,859","660,255,639.03",0.525,CSX Corp,Common Stock,Industrials,09/11/2020
QQQ,053015103,ADP ,"4,803,761","641,013,867.84",0.510,Automatic Data Processing Inc,Common Stock,Information Technology,09/11/2020
QQQ,75886F107,REGN ,"1,127,450","614,178,387.50",0.489,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,09/11/2020
QQQ,452327109,ILMN ,"1,642,956","574,919,593.08",0.458,Illumina Inc,Common Stock,Health Care,09/11/2020
QQQ,58733R102,MELI ,"555,552","573,874,104.96",0.457,MercadoLibre Inc,Common Stock,Consumer Discretionary,09/11/2020
QQQ,595112103,MU ,"12,431,187","572,953,408.83",0.456,Micron Technology Inc,Common Stock,Information Technology,09/11/2020
QQQ,038222105,AMAT ,"10,243,701","563,403,555.00",0.448,Applied Materials Inc,Common Stock,Information Technology,09/11/2020
QQQ,052769106,ADSK ,"2,449,941","557,312,578.68",0.443,Autodesk Inc,Common Stock,Information Technology,09/11/2020
QQQ,09062X103,BIIB ,"1,823,995","492,314,490.45",0.392,Biogen Inc,Common Stock,Health Care,09/11/2020
